"subID","idCode","identity","Categ","Group","Time","degree","outdegree","indegree","strength","M","I","P","St","Ent","Sim","Proto","SzSch","SzUS","A","D","ThermIn","ThermOut","MemUnc","IdUnc","Should","Consist","Salient","Ideal","BExp","GExp","BelPer","M_neigh","I_neigh","P_neigh","St_neigh","Ent_neigh","Sim_neigh","Proto_neigh","SzSch_neigh","SzUS_neigh","A_neigh","D_neigh","ThermIn_neigh","ThermOut_neigh","MemUnc_neigh","IdUnc_neigh","Should_neigh","Consist_neigh","Salient_neigh","Ideal_neigh","BExp_neigh","GExp_neigh","BelPer_neigh","I_Change","I_Prev","deg_Change","deg_Prev","streng_Change","streng_Prev","IdUnc_Change","IdUnc_Prev","MemUnc_Change","MemUnc_Prev","P_Change","P_Prev","St_Change","St_Prev","Ent_Change","Ent_Prev","Sim_Change","Sim_Prev","Proto_Change","Proto_Prev","A_Change","A_Prev","D_Change","D_Prev","I_Cum","I_Ave","Consist_Cum","Consist_Ave","Salient_Cum","Salient_Ave","St_Cum","St_Ave","GExp_Cum","GExp_Ave","BExp_Cum","BExp_Ave","Should_Cum","Should_Ave","IdUnc_Cum","IdUnc_Ave","MemUnc_Cum","MemUnc_Ave","bias"
"1875774",1,"Lesbian","Sex","Homosexual",1,2,2,2,1.04545454545455,2,7,7,4,4,6,6,90,67,6,4,100,74,3,4,7,7,7,6,2,4,7,3.5,6,5.5,4,5,4,5,38.5,66.5,5,4,75.5,54,4,3.5,5.5,6.5,5.5,6.5,3,3.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,4,4,4,4,2,2,7,7,4,4,3,3,26
"1875774",2,"Christian","Rel","Christian",1,1,1,1,0.454545454545455,5,5,4,4,6,3,3,30,72,4,4,69,54,3,4,4,6,4,6,3,3,4,2,7,7,4,4,6,6,90,67,6,4,100,74,3,4,7,7,7,6,2,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,4,4,4,4,3,3,3,3,4,4,4,4,3,3,15
"1875774",3,"Athlete","Hob","Sports",1,0,0,0,0,6,6,6,4,4,5,5,52,66,6,4,83,61,6,2,6,5,6,6,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,6,6,4,4,2,2,4,4,6,6,2,2,6,6,22
"1875774",4,"Cisgender Woman","Gen","Cisgender Female",1,1,1,1,0.590909090909091,2,7,7,4,4,5,7,47,61,6,4,82,54,5,3,7,7,7,7,3,4,6,2,7,7,4,4,6,6,90,67,6,4,100,74,3,4,7,7,7,6,2,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,4,4,4,4,3,3,7,7,3,3,5,5,28
"1875774",5,"ADHD","Hob","Other/Not Listed",1,0,0,0,0,1,6,2,5,4,3,5,34,32,6,4,43,62,3,3,6,5,5,3,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,5,5,5,5,2,2,5,5,6,6,3,3,3,3,-19
"1875774",6,"White","Race","White/Causasian",1,0,0,0,0,1,7,5,4,4,3,5,85,85,6,4,64,49,2,2,5,6,4,3,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,6,4,4,4,4,4,4,1,1,5,5,2,2,2,2,15
"46316",1,"Mexican","Race","Hispanic/Latino",1,2,2,2,1,1,7,6,3,4,5,5,35,15,6,5,85,80,5,2,3,6,3,5,1,4,3,4,6,5.5,2,4,3,6,60,13.5,6.5,4,91,71,2,1.5,5.5,6.5,5,4,5.5,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,6,3,3,3,3,4,4,1,1,3,3,2,2,5,5,5
"46316",2,"Gamer","Hob","Gaming",1,2,2,2,1.63636363636364,6,7,7,5,4,5,7,19,8,7,6,90,87,1,1,5,7,7,5,1,5,7,3,6.5,3.5,2.5,2,1.5,6,65,15,6.5,4,87.5,47.5,3,3.5,4,6.5,4,2.5,4.5,4,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,5,5,5,5,1,1,5,5,1,1,1,1,3
"46316",3,"College Student","Occup","Student",1,4,4,4,2.72727272727273,5,6,6,2,2,1,6,100,20,7,6,95,65,2,2,7,7,7,4,5,5,7,2.75,6.75,4.75,3.25,4,4.25,6,26,10,6.25,3.75,85.5,68.5,3,2.25,3.25,6.25,3.5,3.75,3,3.75,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,7,7,7,2,2,5,5,5,5,7,7,2,2,2,2,30
"46316",4,"Tired","Other","Physical Condition",1,3,3,3,2.63636363636364,1,7,1,3,2,2,6,30,10,6,2,80,30,4,5,1,6,1,1,4,3,6,4.66666666666667,6.33333333333333,6,3,4,3.66666666666667,6.33333333333333,46.3333333333333,11.6666666666667,6.66666666666667,4.66666666666667,90.6666666666667,76.3333333333333,1.66666666666667,1.33333333333333,5.33333333333333,6.66666666666667,5.66666666666667,4.33333333333333,4,4.33333333333333,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,6,1,1,3,3,3,3,4,4,1,1,5,5,4,4,50
